Issue	Author(s)
35	Ирина Шарова
35	Ольга Липовская
35	Татьяна Мельникова
35	Людмила Ржаницына
35	Оксана Трухан
35	Екатерина Макаркова
35	Марина Алёшина
35	
35	Алина Ильина
35	Элеонора Ивлева
36	
36	Лора Гриффин
36	Максим Костенко, Светлана Саклакова
36	Ева Энслер
36	Дебора Сонтаг
36	Алина Ильина, Ольга Липовская
36	Алла Денисова
36	Мила Фараджуллаева
36	Наталья Кулинка
36	Умида Ахмедова
38	Ольга Волжина
38	Наталья Римашевская
38	Т.Н. Штейн, Т.Ю. Климешова
38	
38	Эмили Мерц
38	
38	Галина Петриашвили
38	Татьяна Федяева
38	Оксана Иванина
38	Галина Петриашвили
39	
39	Татьяна Федяева
39	Светлана Пономарева
39	Надежда Ажгихина
39	Максим Костенко
39	
39	Алина Ильина, Лидия Блохина
39	Александра Леонтьева, Карин Сарсенов
39	Ирина Герциг, Ольга Новосад
39	Валентина Полетаева
39	Надежда Шведова
40	
40	Елена Кочкина, Михаил Кириченко, Наталья Степанова
40	Татьяна Федяева
40	Любовь Штылева
40	Татьяна Попова
40	Тамара Овнатанян
40	Татьяна Степанова
40	Мария Петроченкова
40	Любовь Горяева
40	Холема Хушкадамова
41	Колетт Шульман
41	Надежда Ажгихина
41	Ольга Липовская
41	Наталья В. Иванова
41	Светлана Айвазова
41	Ия Мерквиладзе
41	Галина Петриашвили
41	Светлана Ризаева
41	Любовь Штылева
41	Тамара Овнатанян, лидеры Армении
41	Халима Хушкадамова
41	Александра Смит
41	Татьяна Попова
